borrow_id,user_id,book_id,borrow_date,expected_return_date,actual_return_date,status
1,1,938,2023-09-28,2023-10-28,2023-10-27,已归还
2,1,519,2022-07-12,2022-08-11,2022-08-05,已归还
3,1,263,2024-02-02,2024-03-03,2024-03-05,已归还
4,1,122,2023-02-07,2023-03-09,2023-03-07,已归还
5,1,534,2021-03-13,2021-04-12,2021-04-15,已归还
6,1,615,2022-10-06,2022-11-05,2022-11-02,已归还
7,1,505,2021-12-04,2022-01-03,2022-01-04,已归还
8,1,145,2022-04-24,2022-05-24,2022-05-15,已归还
9,1,638,2022-03-12,2022-04-11,2022-04-06,已归还
10,1,97,2022-09-29,2022-10-29,2022-10-21,已归还
11,1,617,2022-08-09,2022-09-08,2022-09-04,已归还
12,1,781,2023-12-18,2024-01-17,2024-02-09,已归还
13,1,356,2021-07-16,2021-08-15,2021-08-15,已归还
14,1,31,2023-04-21,2023-05-21,2023-05-16,已归还
15,1,904,2024-06-06,2024-07-06,2024-07-05,已归还
16,1,885,2022-11-05,2022-12-05,2022-12-06,已归还
17,1,551,2021-08-12,2021-09-11,2021-09-15,已归还
18,1,327,2023-01-21,2023-02-20,2023-02-17,已归还
19,1,453,2022-01-06,2022-02-05,2022-02-26,已归还
20,1,830,2023-04-12,2023-05-12,2023-05-09,已归还
21,1,994,2024-09-08,2024-10-08,2024-10-02,已归还
22,1,513,2020-12-07,2021-01-06,2020-12-28,已归还
23,2,686,2025-03-07,2025-04-06,,借阅中
24,2,104,2024-05-02,2024-06-01,2024-05-28,已归还
25,2,642,2024-04-26,2024-05-26,2024-05-26,已归还
26,2,443,2024-06-03,2024-07-03,2024-07-29,已归还
27,2,581,2024-07-26,2024-08-25,2024-08-21,已归还
28,2,507,2024-08-31,2024-09-30,2024-10-02,已归还
29,2,658,2024-02-11,2024-03-12,2024-03-09,已归还
30,2,935,2024-03-06,2024-04-05,2024-03-26,已归还
31,2,98,2024-10-05,2024-11-04,2024-11-06,已归还
32,2,203,2024-12-25,2025-01-24,2025-01-16,已归还
33,2,473,2024-05-14,2024-06-13,2024-06-07,已归还
34,2,835,2024-06-19,2024-07-19,2024-07-11,已归还
35,3,568,2024-10-22,2024-11-21,2024-11-13,已归还
36,3,730,2024-09-09,2024-10-09,2024-10-11,已归还
37,3,237,2024-05-09,2024-06-08,2024-06-03,已归还
38,3,902,2025-01-29,2025-02-28,2025-02-22,已归还
39,3,842,2024-08-21,2024-09-20,2024-09-21,已归还
40,3,366,2024-12-29,2025-01-28,2025-01-26,已归还
41,3,330,2024-03-22,2024-04-21,2024-04-25,已归还
42,3,494,2024-06-22,2024-07-22,2024-07-25,已归还
43,3,730,2024-06-05,2024-07-05,2024-07-08,已归还
44,3,632,2024-08-04,2024-09-03,2024-09-01,已归还
45,3,311,2025-01-17,2025-02-16,2025-02-10,已归还
46,3,154,2024-06-02,2024-07-02,2024-07-02,已归还
47,3,447,2024-06-15,2024-07-15,2024-07-07,已归还
48,3,767,2024-03-28,2024-04-27,2024-05-16,已归还
49,3,427,2024-11-02,2024-12-02,2024-11-30,已归还
50,3,342,2024-09-20,2024-10-20,2024-10-22,已归还
51,3,413,2024-12-17,2025-01-16,2025-01-17,已归还
52,3,621,2024-05-13,2024-06-12,2024-06-10,已归还
53,3,656,2024-04-03,2024-05-03,2024-04-29,已归还
54,3,492,2024-07-25,2024-08-24,2024-08-23,已归还
55,3,828,2024-11-05,2024-12-05,2024-12-06,已归还
56,3,232,2024-03-05,2024-04-04,2024-03-25,已归还
57,3,943,2023-12-15,2024-01-14,2024-01-05,已归还
58,3,192,2025-01-18,2025-02-17,2025-03-10,已归还
59,3,257,2024-04-14,2024-05-14,2024-05-08,已归还
60,4,868,2021-04-24,2021-05-24,2021-05-14,已归还
61,4,466,2024-05-04,2024-06-03,2024-06-02,已归还
62,4,811,2025-01-12,2025-02-11,2025-02-10,已归还
63,4,862,2023-01-12,2023-02-11,2023-02-07,已归还
64,4,48,2021-03-20,2021-04-19,2021-04-12,已归还
65,4,243,2022-06-17,2022-07-17,2022-07-17,已归还
66,4,491,2024-06-12,2024-07-12,2024-07-05,已归还
67,4,542,2021-06-27,2021-07-27,2021-07-24,已归还
68,4,892,2023-05-22,2023-06-21,2023-06-16,已归还
69,4,937,2023-11-10,2023-12-10,2023-12-06,已归还
70,4,563,2021-04-19,2021-05-19,2021-05-12,已归还
71,4,817,2024-05-24,2024-06-23,2024-06-17,已归还
72,4,773,2021-06-28,2021-07-28,2021-07-31,已归还
73,4,253,2024-06-15,2024-07-15,2024-07-19,已归还
74,4,236,2025-02-17,2025-03-19,,借阅中
75,4,165,2021-10-16,2021-11-15,2021-11-12,已归还
