rating_id,user_id,book_id,borrow_id,rating,rating_date,comment
1,1,519,2,4.5,2022-08-10,
2,1,122,4,2.5,2023-03-07,部分内容有价值，但结构不太紧凑。
3,1,534,5,4.5,2021-04-20,
4,1,505,7,4.0,2022-01-07,这本书给了我很多启发，值得一读。
5,1,617,11,3.5,2022-09-09,推荐阅读，内容有深度。
6,1,356,13,2.5,2021-08-18,
7,1,31,14,4.5,2023-05-19,绝对的经典，每一页都很精彩。
8,1,327,18,4.5,2023-02-22,
9,1,994,21,3.0,2024-10-07,
10,1,513,22,1.0,2021-01-01,内容过于基础，不适合有经验的读者。
11,2,104,24,3.0,2024-06-02,
12,2,642,25,1.5,2024-06-01,
13,2,443,26,3.5,2024-08-02,
14,2,581,27,4.5,2024-08-22,
15,2,507,28,5.0,2024-10-06,非常棒的书，强烈推荐！
16,2,203,32,3.5,2025-01-19,
17,2,473,33,3.5,2024-06-12,
18,3,568,35,3.0,2024-11-19,部分内容有价值，但结构不太紧凑。
19,3,730,36,2.0,2024-10-17,内容过于基础，不适合有经验的读者。
20,3,237,37,3.5,2024-06-04,整体来说不错，有些章节特别精彩。
21,3,902,38,5.0,2025-02-27,
22,3,842,39,3.0,2024-09-25,
23,3,494,42,3.5,2024-07-30,
24,3,730,43,3.5,2024-07-11,
25,3,632,44,2.5,2024-09-01,
26,3,311,45,5.0,2025-02-16,
27,3,154,46,5.0,2024-07-02,
28,3,447,47,3.0,2024-07-07,
29,3,767,48,2.5,2024-05-19,部分内容有价值，但结构不太紧凑。
30,3,427,49,3.0,2024-12-06,还可以，但有些部分比较枯燥。
31,3,656,53,4.0,2024-05-04,
32,3,492,54,2.5,2024-08-24,
33,3,828,55,5.0,2024-12-11,内容超出预期，值得一读。
34,3,192,58,3.0,2025-03-08,
35,4,868,60,2.5,2021-05-17,
36,4,466,61,3.5,2024-06-07,很好的一本书，内容充实。
37,4,243,65,3.5,2022-07-19,
38,4,491,66,4.0,2024-07-06,
39,4,542,67,3.5,2021-07-24,
40,4,937,69,3.0,2023-12-07,
41,4,563,70,2.0,2021-05-15,
42,4,773,72,4.5,2021-08-02,
43,4,165,75,2.5,2021-11-12,
44,4,3,77,4.0,2025-01-06,
45,4,75,79,3.5,2022-02-01,
46,4,525,81,4.0,2022-06-11,很好的一本书，内容充实。
47,4,246,84,3.0,2024-04-27,有些见解很独特，但整体平平。
48,4,327,86,3.5,2022-08-07,很好的一本书，内容充实。
49,4,238,88,3.5,2022-08-01,
50,4,367,90,3.5,2024-08-11,
51,4,705,91,3.5,2023-12-14,
52,4,71,92,3.5,2021-09-26,很好的一本书，内容充实。
53,4,657,93,3.5,2020-12-25,
54,4,869,94,4.0,2022-04-14,
55,4,298,97,3.0,2021-03-11,
56,4,178,98,4.0,2022-02-18,整体来说不错，有些章节特别精彩。
57,4,917,101,2.5,2023-07-11,
58,4,444,103,2.5,2021-10-17,内容一般，不过有几个亮点。
59,4,292,104,4.0,2020-07-11,
60,4,866,107,3.5,2022-09-24,
61,4,722,108,3.5,2020-07-13,
62,4,255,109,2.0,2021-06-03,
63,4,579,110,4.0,2023-01-31,观点很有趣，写作风格也不错。
64,4,618,111,4.0,2022-03-06,
65,4,765,112,2.0,2020-09-04,
66,5,44,114,3.5,2023-11-01,
